Quarter,WA,CA,WA_CA,Program,Time,Time_After
Jul-06,0.494,0.684,-0.190,0,1,0
Oct-06,0.513,0.613,-0.100,0,2,0
Jan-07,0.558,0.658,-0.100,0,3,0
Apr-07,0.527,0.627,-0.100,0,4,0
Jul-07,0.508,0.608,-0.100,0,5,0
Oct-07,0.489,0.619,-0.130,0,6,0
Jan-08,0.501,0.601,-0.100,0,7,0
Apr-08,0.536,0.636,-0.100,0,8,0
Jul-08,0.358,0.608,-0.250,0,9,0
Oct-08,0.182,0.582,-0.400,1,10,1
Jan-09,0.236,0.646,-0.410,1,11,2
Apr-09,0.201,0.621,-0.420,1,12,3
Jul-09,0.190,0.620,-0.430,1,13,4
Oct-09,0.179,0.629,-0.450,1,14,5
Jan-10,0.172,0.632,-0.460,1,15,6
Apr-10,0.169,0.609,-0.440,1,16,7
Jul-10,0.165,0.575,-0.410,1,17,8